粤语,#genre#
粤语版电影一,http://allinone.netsite.cc/douyu/5033502
粤语版电影二,http://allinone.netsite.cc/douyu/6566671
粤语版电影三,http://allinone.netsite.cc/douyu/1226741
粤语剧集轮播,http://allinone.netsite.cc/douyu/10338873
粤语港剧轮播,http://allinone.netsite.cc/douyu/6478650
粤语港剧回忆,http://allinone.netsite.cc/douyu/742565
粤语轮播港剧,http://allinone.netsite.cc/douyu/9019945
粤语轮播剧集,http://allinone.netsite.cc/douyu/10567318
粤语经典综艺,http://allinone.netsite.cc/douyu/7919720
粤语星爷电影,http://cfss.cc/cdn/hy/11336587.m3u8
粤语极清电影,https://tc1-pull.haixing.tv/live/7765_1714180852.flv
爆谷台,https://tv.mytvsuper.xyz/1/baogutai/baogu.m3u8
星影台,https://tv.mytvsuper.xyz/1/xingyingtai/xingying.m3u8
星河台,https://tv.mytvsuper.xyz/tvb/xinghe/xinghe.m3u8
千禧经典台,https://tv.mytvsuper.xyz/astro/qianxi/qianxi.m3u8
TVB生活台,https://tv.mytvsuper.xyz/tvb/shenghuo/stream.m3u8
粤语动画电影,http://allinone.netsite.cc/douyu/6462389
粤语配音电影,http://allinone.netsite.cc/yy/1356262523
粤剧白蛇传情,http://cfss.cc/cdn/hy/19743437.m3u8
95神雕侠侣粤,http://allinone.netsite.cc/yy/1354926637
佛山,#genre#
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
佛山公共,http://113.71.148.79:5555/udp/239.253.43.48:5146
佛山公共,http://113.71.148.79:5555/udp/239.253.43.53:5146
佛山南海,http://113.71.148.79:5555/udp/239.253.43.49:5146
佛山南海,http://113.71.148.79:5555/udp/239.77.0.236:5146
佛山南海,http://113.71.148.79:5555/udp/239.253.43.54:5146
佛山顺德,http://113.71.148.79:5555/udp/239.253.43.50:5146
佛山顺德,http://113.71.148.79:5555/udp/239.253.43.55:5146
佛山影视,http://113.71.148.79:5555/udp/239.253.43.51:5146
佛山影视,http://113.71.148.79:5555/udp/239.253.43.56:5146
佛山综合,http://113.71.148.79:5555/udp/239.253.43.52:5146
佛山综合,http://113.71.148.79:5555/udp/239.253.43.57:5146
DY1,http://allinone.netsite.cc/douyu/747764
DY2,http://allinone.netsite.cc/douyu/6140589
DY3,http://allinone.netsite.cc/douyu/36337
DY4,http://allinone.netsite.cc/douyu/2436390
DY5,http://allinone.netsite.cc/douyu/323876
榜单电影,http://allinone.netsite.cc/douyu/8770422
华语1,http://allinone.netsite.cc/douyu/122402
华语2,http://allinone.netsite.cc/douyu/85894
AKTV,#genre#
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/master.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/master.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/master.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/master.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/master.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/master.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/master.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/master.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/master.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/master.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/master.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/master.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/master.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/master.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/master.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/master.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/master.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/master.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/master.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/master.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/master.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/master.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/master.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/master.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/master.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/master.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/master.m3u8
